StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Year_02,At_Risk_Numeracy
188326340,27,28,31,27,28,31,57,39,3,3,2,2,2,2,2,2,2017,False
745274731,11,11,16,11,11,16,22,36,1,3,1,2,2,2,0,2,2018,False
296016883,21,22,29,21,22,29,30,53,1,4,1,2,0,2,1,2,2020,False
310996362,10,13,22,10,13,22,9,29,2,4,1,2,2,5,2,2,2021,False
794341692,10,18,22,10,18,22,39,39,2,2,1,2,3,2,2,1,2021,False
216186247,9,15,19,9,15,19,39,39,2,2,2,2,2,2,1,2,2018,False
730353107,1,4,14,1,4,14,11,21,1,1,0,1,1,1,0,1,2016,True
387682724,17,19,24,17,19,24,33,30,3,4,2,2,2,4,2,2,2017,False
347823978,13,14,21,13,14,21,26,38,3,3,1,2,1,2,1,1,2020,False
305469583,3,13,22,3,13,22,3,0,1,3,1,2,0,2,0,2,2018,True
922103248,21,31,29,21,31,29,80,50,2,3,1,2,1,2,1,2,2020,False
983209738,18,20,24,18,20,24,37,26,2,2,1,2,1,2,1,2,2018,True
588877220,10,15,19,10,15,19,16,32,4,4,3,3,2,2,2,2,2017,False
845810364,15,21,24,15,21,24,41,54,4,4,2,3,2,4,2,2,2021,False
975980223,13,18,23,13,18,23,25,42,2,3,1,1,2,2,1,2,2020,True
557220837,16,20,24,16,20,24,37,36,3,3,1,2,1,2,1,2,2020,False
207631062,12,13,22,12,13,22,19,39,2,2,1,2,1,4,0,2,2020,False
262159897,3,9,22,3,9,22,7,29,1,2,1,2,1,2,1,2,2020,True
348103590,13,13,19,13,13,19,43,38,2,4,1,1,2,3,2,2,2017,False
822164884,10,18,27,10,18,27,18,36,1,3,1,2,2,2,0,1,2017,False
224234970,1,17,17,1,17,17,24,10,1,2,1,1,2,1,2,1,2018,False
743427649,4,9,16,4,9,16,7,18,1,2,0,1,1,3,0,2,2017,True
272747057,5,14,22,5,14,22,25,27,1,3,0,1,1,1,0,2,2018,False
521348728,1,19,18,1,19,18,10,21,1,2,1,1,1,2,1,2,2017,True
807668599,12,15,24,12,15,24,13,20,1,1,0,1,1,1,0,2,2018,True
990255653,9,13,22,9,13,22,25,37,3,4,1,2,1,4,1,3,2020,False
722093877,15,15,18,15,15,18,24,36,4,4,2,2,1,2,2,2,2021,False
272470697,1,10,13,1,10,13,4,4,1,2,0,1,0,1,1,2,2021,True
266001472,16,17,26,16,17,26,21,38,2,2,1,2,2,3,0,2,2016,False
449604000,11,16,20,11,16,20,19,43,2,3,1,2,0,3,0,2,2020,False
303537600,11,9,20,11,9,20,20,22,0,2,1,2,0,2,1,1,2018,False
310125242,20,23,30,20,23,30,52,48,5,5,2,2,4,5,2,4,2020,False
860303089,15,16,21,15,16,21,32,30,3,3,1,2,2,2,0,2,2018,True
486061792,13,19,26,13,19,26,23,39,1,2,1,2,1,2,0,2,2020,False
262746516,12,13,23,12,13,23,21,32,2,4,1,2,1,3,2,2,2020,False
936014187,6,15,18,6,15,18,19,26,1,3,1,1,1,1,2,1,2017,False
917736278,13,15,21,13,15,21,22,22,0,3,1,1,0,4,1,3,2018,False
796102107,5,9,17,5,9,17,23,28,0,2,1,2,1,4,2,2,2017,False
575854513,12,14,24,12,14,24,20,32,2,4,1,2,1,4,1,2,2020,False
913551015,15,17,21,15,17,21,22,25,1,2,1,2,1,1,1,0,2017,True
642755242,12,16,26,12,16,26,21,37,1,3,1,1,2,2,2,2,2020,False
234329008,11,17,24,11,17,24,19,38,2,3,1,2,1,2,1,2,2018,False
339293139,14,18,22,14,18,22,49,34,2,4,1,2,2,3,2,1,2018,False
521298518,4,16,21,4,16,21,13,25,2,3,1,2,1,0,0,1,2017,True
463972013,14,12,15,14,12,15,10,19,1,2,1,2,1,1,0,2,2017,False
642499299,13,12,14,13,12,14,7,14,2,2,1,1,1,1,1,1,2020,False
122166236,3,7,16,3,7,16,15,39,1,2,2,2,4,3,2,2,2020,False
184964543,10,13,19,10,13,19,10,35,2,2,1,2,2,2,0,1,2018,False
821343411,14,16,24,14,16,24,26,18,2,1,2,2,1,0,2,2,2016,False
866120249,21,21,24,21,21,24,34,50,2,5,1,2,3,4,2,2,2020,False
267784026,11,20,25,11,20,25,39,37,2,4,1,3,2,4,2,4,2020,False
512783009,20,23,26,20,23,26,18,49,1,4,1,2,3,3,0,2,2021,True
789050314,7,9,22,7,9,22,13,11,3,4,2,3,3,4,4,2,2016,False
982513234,0,5,11,0,5,11,10,13,0,2,0,1,1,1,1,2,2018,False
847896572,17,16,26,17,16,26,20,25,1,4,0,2,1,1,0,2,2021,True
470139577,9,13,20,9,13,20,22,14,2,2,1,2,1,2,1,1,2020,False
247967502,15,19,21,15,19,21,64,33,3,4,1,2,3,2,1,2,2016,False
836499340,12,15,20,12,15,20,17,48,4,5,2,2,4,4,2,2,2021,False
599040371,11,12,25,11,12,25,36,24,2,3,1,1,1,2,1,2,2016,True
977964450,5,16,20,5,16,20,5,18,3,2,1,2,1,4,1,2,2020,False
438186282,3,6,13,3,6,13,18,26,2,1,1,1,1,1,0,0,2016,False
348604029,9,15,18,9,15,18,17,18,2,4,1,2,1,5,2,2,2020,False
689409650,26,29,28,26,29,28,28,45,2,4,1,2,2,2,1,2,2020,False
349925591,2,11,16,2,11,16,11,19,2,2,1,1,1,0,1,1,2018,True
420619753,31,30,31,31,30,31,67,45,4,5,2,2,2,4,1,2,2020,False
276371305,14,14,26,14,14,26,28,28,2,2,1,2,2,2,2,2,2021,False
634714075,6,14,21,6,14,21,23,34,3,3,1,2,1,2,2,2,2020,False
255720236,11,18,24,11,18,24,32,30,1,5,1,3,2,2,1,2,2016,False
782608796,2,8,20,2,8,20,12,19,1,2,1,2,0,2,0,2,2018,True
655255805,4,13,16,4,13,16,13,19,2,3,1,2,1,2,1,1,2018,True
754825431,14,18,23,14,18,23,37,39,1,2,1,2,1,1,2,0,2017,False
252546202,12,13,20,12,13,20,18,28,2,4,2,2,2,4,2,2,2018,False
484858792,7,11,16,7,11,16,26,25,1,3,1,3,3,2,0,2,2020,False
232379317,6,8,17,6,8,17,13,31,2,2,0,1,1,2,0,2,2016,True
379669995,29,30,29,29,30,29,20,51,4,5,2,3,2,5,2,4,2020,False
187730675,9,11,23,9,11,23,17,14,0,2,1,1,0,1,1,2,2018,False
106160242,7,19,23,7,19,23,4,29,1,1,1,1,0,3,2,2,2018,True
983218632,9,15,18,9,15,18,18,34,1,2,1,1,1,1,1,2,2017,False
121313830,19,20,24,19,20,24,30,37,1,2,1,2,3,2,2,2,2016,False
167290911,24,26,30,24,26,30,22,35,5,5,1,4,3,5,2,4,2018,False
189292683,10,13,19,10,13,19,20,29,2,3,1,2,1,1,1,2,2017,False
149715920,15,13,20,15,13,20,22,35,1,3,1,1,1,1,0,1,2021,True
483189506,11,17,23,11,17,23,18,44,2,2,1,1,1,1,2,1,2020,False
403686995,12,18,23,12,18,23,28,37,3,5,1,4,4,4,0,2,2016,False
846580078,16,18,26,16,18,26,44,40,3,4,2,2,2,2,2,2,2018,False
985015976,7,18,24,7,18,24,27,38,2,4,1,2,2,2,2,2,2021,False
313421945,22,28,29,22,28,29,67,37,2,4,1,1,2,3,2,2,2016,False
884875752,18,23,27,18,23,27,31,34,2,4,2,3,1,2,1,2,2017,False
417862459,15,10,18,15,10,18,11,40,0,3,1,2,1,1,1,0,2021,False
233602931,15,21,29,15,21,29,29,37,2,4,1,2,2,2,2,2,2017,True
466737101,8,10,15,8,10,15,10,23,1,2,1,1,0,2,0,1,2018,False
567248058,11,12,21,11,12,21,30,38,2,3,1,1,2,2,2,2,2020,False
145678355,8,17,22,8,17,22,13,34,0,2,1,1,0,0,0,0,2016,False
470597494,2,14,24,2,14,24,12,22,2,3,1,2,1,2,0,2,2017,False
350369171,13,14,24,13,14,24,37,34,0,2,1,2,1,2,2,2,2017,False
444735358,6,14,20,6,14,20,8,31,2,2,1,1,2,1,1,2,2020,False
959865963,12,14,22,12,14,22,28,40,1,4,1,2,2,4,2,2,2020,False
305393524,16,16,19,16,16,19,56,37,2,4,2,0,2,1,2,2,2017,False
514176843,16,20,25,16,20,25,24,26,2,2,1,2,2,2,1,2,2020,True
814700810,9,12,17,9,12,17,23,21,2,2,1,1,2,2,2,2,2018,False
912031414,10,13,22,10,13,22,31,33,1,2,1,2,1,2,1,2,2017,False
774898276,25,25,31,25,25,31,50,33,4,5,2,2,5,5,2,4,2018,False
924635552,9,10,16,9,10,16,16,29,2,3,1,1,2,1,0,1,2016,False
365002501,1,10,14,1,10,14,6,10,0,3,1,2,1,4,0,2,2017,False
605757201,11,13,19,11,13,19,13,28,1,2,0,1,0,2,0,2,2020,False
604182127,8,11,20,8,11,20,30,30,1,4,1,1,1,4,1,2,2018,False
280654120,4,16,21,4,16,21,21,38,2,3,1,1,2,2,2,1,2021,False
515766446,8,11,17,8,11,17,13,26,2,4,1,1,1,1,2,1,2017,False
950798519,18,17,22,18,17,22,21,40,1,2,1,2,1,2,1,2,2020,True
748452182,6,9,17,6,9,17,12,23,2,3,1,2,0,2,0,2,2017,True
367570497,13,21,25,13,21,25,11,42,2,2,0,1,1,2,1,1,2020,False
118140299,15,19,21,15,19,21,32,35,2,4,0,2,2,4,1,2,2018,False
646528390,16,21,21,16,21,21,19,33,1,3,1,2,0,2,1,1,2018,False
118734362,10,16,23,10,16,23,26,32,2,2,1,2,2,2,0,2,2021,False
659757719,10,16,29,10,16,29,14,41,2,2,1,1,1,1,0,0,2020,False
874842319,21,22,25,21,22,25,27,40,2,2,1,1,1,2,0,1,2020,False
869836073,7,10,16,7,10,16,25,28,2,4,1,2,2,0,2,2,2017,False
739339239,16,15,21,16,15,21,16,43,1,3,1,2,1,3,0,1,2020,False
184262286,0,9,17,0,9,17,22,38,2,2,1,1,2,3,2,2,2021,False
698534195,7,13,20,7,13,20,13,24,2,3,1,2,2,2,1,2,2018,False
328901414,13,14,20,13,14,20,8,46,2,2,1,2,2,2,1,2,2020,True
868337185,4,11,23,4,11,23,23,36,2,2,1,2,1,4,1,2,2020,False
313227773,1,7,10,1,7,10,0,11,0,3,0,1,0,2,0,2,2018,False
869239182,13,15,25,13,15,25,21,32,2,4,1,2,0,1,0,2,2016,False
427725684,10,13,17,10,13,17,20,29,1,2,1,2,0,1,0,2,2021,True
948484674,27,29,30,27,29,30,28,43,3,5,2,2,4,5,2,3,2021,False
132490859,10,17,20,10,17,20,26,26,1,2,1,1,1,1,2,2,2018,False
584966624,15,13,26,15,13,26,39,36,4,4,2,2,1,5,0,3,2016,False
308674608,5,11,17,5,11,17,13,35,4,4,1,1,2,3,2,2,2020,False
168095826,16,15,21,16,15,21,26,41,2,2,1,1,1,1,0,2,2020,False
687827199,6,5,21,6,5,21,11,35,2,2,1,1,1,2,0,2,2021,True
264256753,6,13,18,6,13,18,7,15,1,2,1,1,1,2,1,1,2021,True
544479093,7,11,17,7,11,17,7,14,1,3,0,2,1,2,0,2,2016,True
467522892,3,11,20,3,11,20,15,29,2,3,0,2,2,3,2,2,2020,True
447212861,16,23,22,16,23,22,33,33,1,3,0,2,1,1,2,2,2018,False
672216639,14,24,30,14,24,30,39,42,1,2,1,2,2,2,1,2,2020,False
724160754,13,16,22,13,16,22,11,30,1,3,0,1,1,1,0,2,2020,True
727842708,6,5,16,6,5,16,10,18,3,4,1,2,2,5,2,2,2017,False
100739488,6,15,19,6,15,19,20,25,2,4,1,2,1,4,2,2,2016,False
930521573,15,20,24,15,20,24,16,26,2,2,1,1,2,2,1,1,2018,False
101992986,24,28,30,24,28,30,34,42,3,5,1,3,1,4,2,2,2020,False
462363607,14,19,21,14,19,21,19,42,2,2,1,1,1,2,1,2,2021,False
767337419,10,13,21,10,13,21,35,41,2,2,1,1,1,2,1,2,2017,True
717467838,19,24,31,19,24,31,31,38,2,3,1,2,1,4,2,3,2021,False
899910895,3,11,13,3,11,13,7,6,1,2,1,1,1,2,1,2,2021,True
518046350,12,18,26,12,18,26,34,34,1,4,1,1,2,2,2,2,2016,False
306423305,11,17,20,11,17,20,24,28,2,2,1,1,2,2,0,2,2018,False
253511413,4,8,17,4,8,17,11,27,3,2,2,2,3,4,2,2,2021,False
830668910,13,16,20,13,16,20,17,26,2,3,1,2,2,3,0,2,2017,False
121816878,11,8,21,11,8,21,15,26,1,2,1,2,0,2,1,2,2021,False
170274510,4,4,14,4,4,14,7,20,0,1,0,1,0,2,1,0,2021,True
886853137,7,13,19,7,13,19,11,14,1,2,1,1,1,1,1,2,2021,False
903416158,13,15,20,13,15,20,14,35,2,3,1,1,0,1,1,2,2020,False
995366189,15,17,20,15,17,20,25,30,1,3,1,4,1,4,1,2,2017,False
501193222,31,31,28,31,31,28,52,51,3,4,0,3,2,5,2,3,2020,False
958839080,7,12,17,7,12,17,17,30,1,2,1,1,1,0,1,1,2017,True
816857237,7,10,25,7,10,25,14,24,2,2,1,1,1,0,2,2,2018,False
322525853,5,18,20,5,18,20,15,30,2,2,1,1,1,2,2,0,2020,False
602364329,17,20,31,17,20,31,50,37,4,5,2,2,2,3,2,2,2018,False
486996979,11,15,16,11,15,16,20,35,3,4,1,2,2,2,2,2,2020,False
199615812,1,9,19,1,9,19,9,16,2,3,1,1,1,3,1,2,2018,False
792728536,13,14,22,13,14,22,23,36,3,4,1,2,2,3,2,2,2020,False
479913541,11,17,25,11,17,25,29,29,2,3,2,2,2,4,2,2,2017,False
787002264,7,11,16,7,11,16,11,10,2,3,1,1,1,2,2,2,2018,False
934733326,3,15,17,3,15,17,27,27,4,4,1,2,2,3,2,1,2017,False
738413141,7,8,15,7,8,15,12,24,0,2,1,1,0,2,0,2,2021,False
153020336,5,8,19,5,8,19,20,35,2,3,1,1,1,1,0,1,2018,True
742363182,3,4,6,3,4,6,4,7,2,0,1,1,0,1,0,0,2018,True
715390493,15,15,20,15,15,20,25,39,3,3,1,2,1,1,2,2,2017,False
623810043,6,8,18,6,8,18,14,30,2,1,0,1,1,3,0,1,2016,False
603575756,12,24,25,12,24,25,28,26,2,5,2,3,2,5,2,2,2020,False
569997057,22,23,30,22,23,30,47,48,3,2,1,2,1,2,2,1,2020,False
433379962,12,13,21,12,13,21,27,32,1,5,1,2,2,2,2,1,2017,False
759864818,14,18,23,14,18,23,15,34,3,2,2,2,1,4,2,2,2016,False
740936134,6,5,17,6,5,17,11,28,1,1,1,1,1,2,1,0,2017,True
826988017,5,7,21,5,7,21,19,19,1,3,1,2,0,2,1,2,2020,True
556031290,11,20,20,11,20,20,23,34,1,2,1,1,1,1,2,1,2021,False
152261474,9,11,20,9,11,20,32,20,2,3,1,2,1,2,1,1,2017,False
595489519,8,13,15,8,13,15,14,21,1,2,0,1,0,2,1,0,2018,True
308539775,15,20,30,15,20,30,20,31,2,2,1,2,2,3,1,2,2021,False
841936685,16,20,24,16,20,24,34,31,2,3,0,1,2,2,2,1,2016,False
573624858,9,19,23,9,19,23,9,37,3,3,1,2,1,1,1,2,2017,False
979308887,25,23,30,25,23,30,52,51,2,1,1,1,2,2,0,2,2021,False
748871993,11,14,16,11,14,16,8,26,1,2,1,1,2,2,0,2,2020,False
781859129,8,11,22,8,11,22,15,27,1,2,1,1,1,2,1,2,2017,True
896841000,8,14,23,8,14,23,4,9,0,2,0,1,1,0,1,0,2016,True
361028516,21,22,24,21,22,24,38,37,3,4,1,2,1,3,2,1,2018,False
533422926,31,30,31,31,30,31,33,37,2,5,1,2,1,4,1,2,2018,False
333156861,12,19,22,12,19,22,15,12,1,3,1,2,0,1,0,2,2018,False
613352039,10,14,21,10,14,21,11,27,2,2,1,2,2,3,1,2,2016,False
250638291,12,14,21,12,14,21,33,36,2,3,1,2,1,2,2,2,2021,False
135730534,10,15,20,10,15,20,45,42,3,3,1,2,1,4,2,2,2020,False
527639256,2,8,15,2,8,15,6,23,1,0,1,1,0,2,1,0,2018,True
563187674,13,17,19,13,17,19,18,26,2,3,1,2,0,3,0,1,2016,False
677389736,26,27,29,26,27,29,63,47,2,4,1,2,2,4,1,2,2020,False
615955121,10,16,26,10,16,26,16,44,3,2,1,2,2,1,0,2,2020,False
317231745,8,17,21,8,17,21,12,26,3,4,1,2,2,2,1,2,2020,False
503723867,0,11,14,0,11,14,6,5,0,1,0,1,0,1,0,2,2017,True
235444956,12,12,17,12,12,17,9,18,1,1,1,1,1,1,1,1,2018,False
555859799,7,14,21,7,14,21,32,29,2,3,1,2,2,1,2,2,2021,False
365763381,0,13,15,0,13,15,16,25,1,2,1,1,0,1,0,2,2016,False
447609544,11,10,17,11,10,17,14,27,1,2,1,2,1,2,1,2,2018,False
534558116,11,15,26,11,15,26,30,37,4,4,2,2,3,2,2,2,2016,False
441721499,7,14,20,7,14,20,5,9,2,2,1,1,1,3,1,2,2021,True
630462116,12,15,26,12,15,26,17,37,3,4,2,1,3,3,1,2,2017,False
789531138,15,14,18,15,14,18,22,30,3,5,2,2,1,4,2,2,2016,False
911348535,9,10,18,9,10,18,15,34,2,3,1,2,0,0,0,0,2021,True
478986506,8,12,21,8,12,21,15,27,1,2,1,1,1,1,1,0,2021,True
459598538,3,5,16,3,5,16,5,10,1,4,0,1,0,1,0,2,2018,True
749233469,12,12,19,12,12,19,28,24,1,2,1,2,1,1,1,2,2020,False
300957902,22,19,22,22,19,22,38,39,1,4,1,2,2,3,2,2,2018,False
429604681,16,16,21,16,16,21,14,29,2,2,1,1,0,2,1,2,2018,False
154205592,10,13,18,10,13,18,16,19,2,4,2,2,1,2,1,2,2020,False
505117099,8,10,21,8,10,21,28,33,2,3,1,1,1,2,0,2,2020,False
731889848,2,9,9,2,9,9,7,26,1,4,1,4,2,3,2,2,2016,False
685417439,13,19,20,13,19,20,24,38,2,4,2,3,3,5,2,2,2020,False
495421459,13,15,18,13,15,18,43,32,3,3,2,2,1,2,0,2,2017,False
974739088,16,21,23,16,21,23,19,32,2,3,1,1,2,2,1,3,2016,False
222821981,26,23,31,26,23,31,17,38,1,3,1,2,1,2,1,2,2020,False
817222968,7,12,18,7,12,18,22,29,2,3,1,2,1,2,1,2,2020,True
416844902,19,24,24,19,24,24,50,34,3,3,2,2,1,2,1,2,2018,False
726949055,15,21,26,15,21,26,21,24,1,4,1,2,1,2,2,2,2020,False
852002491,7,10,15,7,10,15,19,33,1,4,1,2,1,0,1,2,2017,False
325744470,23,24,25,23,24,25,26,51,2,5,1,2,1,2,0,2,2020,False
264344887,14,17,25,14,17,25,27,33,1,3,0,2,1,1,1,1,2021,False
765420013,8,14,15,8,14,15,9,33,1,1,1,1,0,2,0,0,2020,True
252322686,6,10,21,6,10,21,20,31,2,2,1,1,1,1,0,1,2017,False
397360881,5,12,21,5,12,21,26,33,2,4,1,2,2,2,2,2,2020,False
139565326,17,19,27,17,19,27,36,48,3,5,1,3,2,4,1,3,2020,False
389534411,21,23,26,21,23,26,43,35,3,4,2,3,2,4,0,2,2016,False
167062337,8,11,20,8,11,20,6,13,2,2,1,1,1,2,1,2,2020,False
890522991,11,12,18,11,12,18,21,19,2,4,2,1,2,2,2,2,2017,False
665033799,1,0,14,1,0,14,8,18,1,2,0,1,0,1,0,2,2021,True
717524742,5,7,10,5,7,10,11,17,1,1,1,0,1,2,0,2,2016,True
462071857,4,10,19,4,10,19,7,11,2,2,1,1,1,2,1,2,2020,True
805549482,5,7,18,5,7,18,15,22,2,3,1,1,2,1,0,1,2018,False
661815435,10,13,25,10,13,25,30,35,2,2,1,2,1,1,0,0,2018,True
671200240,8,12,18,8,12,18,11,34,2,5,1,2,2,4,1,4,2018,False
576324917,10,18,24,10,18,24,14,30,2,3,1,2,1,2,2,2,2016,False
800871015,12,21,21,12,21,21,37,39,3,4,1,2,2,2,2,3,2021,False
445232420,11,12,17,11,12,17,45,34,1,2,1,1,1,3,0,0,2018,True
793989779,16,20,21,16,20,21,14,37,2,3,1,2,3,2,2,2,2016,False
735829472,7,9,19,7,9,19,18,42,1,2,1,1,1,1,1,1,2020,True
714860371,6,11,18,6,11,18,7,9,0,2,0,1,0,2,0,2,2020,True
540286381,12,11,23,12,11,23,12,28,2,2,1,1,0,2,0,2,2018,False
545772168,6,14,16,6,14,16,6,18,1,2,0,1,1,3,0,2,2018,True
136257187,9,18,24,9,18,24,7,33,3,4,1,2,1,2,0,0,2018,False
889358618,10,13,26,10,13,26,11,26,1,3,0,2,2,2,1,0,2017,False
645808764,16,17,21,16,17,21,12,36,3,3,2,2,1,1,1,0,2016,False
346346373,8,15,20,8,15,20,11,18,1,3,1,2,1,3,0,2,2017,True
644614085,10,12,17,10,12,17,11,14,1,3,1,2,0,4,2,1,2021,False
473243658,14,17,25,14,17,25,16,31,2,2,1,2,1,2,0,2,2020,False
798084756,8,12,18,8,12,18,23,22,1,2,1,1,1,2,2,2,2021,False
365136149,1,5,15,1,5,15,4,29,1,2,1,1,1,1,1,2,2020,True
359833382,12,13,21,12,13,21,34,27,2,3,1,2,3,4,2,2,2021,False
713478130,8,13,18,8,13,18,18,12,1,2,1,1,1,2,0,2,2021,True
197474472,5,10,15,5,10,15,27,35,4,5,3,2,2,4,2,2,2017,False
440255688,15,14,19,15,14,19,9,25,1,1,1,1,0,2,1,2,2018,True
229104739,18,23,27,18,23,27,10,20,2,3,1,2,1,2,1,1,2020,True
376487708,10,14,19,10,14,19,6,24,1,2,0,1,0,1,0,2,2017,True
387393791,7,14,16,7,14,16,15,20,1,2,1,1,1,2,2,2,2021,False
942231892,15,17,20,15,17,20,52,37,3,5,1,2,2,5,1,3,2017,False
907890043,13,16,22,13,16,22,23,39,2,3,1,2,2,2,0,2,2020,False
642535959,3,7,16,3,7,16,8,24,1,2,0,1,1,1,1,2,2018,True
811033838,6,10,17,6,10,17,15,36,1,3,0,1,1,0,0,0,2017,True
786989527,3,0,5,3,0,5,3,7,1,1,0,1,0,1,1,1,2017,True
604969942,12,16,17,12,16,17,15,26,1,2,0,2,1,1,0,2,2017,True
678081209,7,11,16,7,11,16,22,29,2,2,0,1,0,1,0,1,2018,True
490581685,2,11,15,2,11,15,4,12,0,2,0,1,0,1,0,2,2017,True
699298005,1,11,19,1,11,19,12,13,1,2,1,2,1,2,1,2,2021,False
418666948,10,11,19,10,11,19,10,40,1,2,0,2,0,2,0,1,2020,False
336174500,13,17,20,13,17,20,18,40,3,4,1,1,0,4,2,2,2016,False
919122545,16,24,20,16,24,20,22,34,1,4,1,2,1,2,0,1,2017,False
384557690,9,12,22,9,12,22,16,28,2,3,1,1,1,2,2,2,2020,False
870523154,23,25,28,23,25,28,41,46,1,3,1,1,1,1,2,2,2020,False
460484894,6,23,18,6,23,18,21,38,0,4,1,2,2,4,2,3,2017,False
846274521,20,20,26,20,20,26,35,32,1,2,1,2,1,4,0,2,2018,True
365572539,1,10,16,1,10,16,11,15,2,2,0,1,0,0,1,2,2016,True
239259379,12,15,26,12,15,26,24,37,2,2,1,1,1,2,1,2,2020,False
690139144,5,11,22,5,11,22,20,36,2,2,1,1,2,2,2,0,2020,False
402752666,24,25,27,24,25,27,48,47,4,5,3,3,4,5,2,2,2021,False
366286576,6,11,21,6,11,21,18,30,1,2,1,1,0,1,2,2,2018,True
419283396,15,23,28,15,23,28,16,45,2,4,1,1,0,3,2,2,2020,False
700866608,5,15,19,5,15,19,20,20,2,2,1,2,1,2,0,2,2018,False
595947210,14,15,21,14,15,21,13,32,1,3,1,2,0,2,0,2,2018,True
847032076,5,14,24,5,14,24,11,18,2,3,1,2,1,2,2,2,2018,False
139271530,10,15,22,10,15,22,12,33,1,2,1,2,1,2,1,2,2017,True
125616022,13,15,19,13,15,19,22,27,2,3,1,2,2,1,2,2,2018,False
900969542,28,24,24,28,24,24,12,48,4,5,3,4,4,4,2,3,2020,False
220910495,14,20,23,14,20,23,18,31,3,4,2,2,1,2,2,2,2016,False
205582188,11,17,19,11,17,19,17,35,2,3,1,2,0,1,2,2,2017,False
796659751,11,16,23,11,16,23,21,41,2,2,1,1,0,2,0,0,2021,True
355369245,11,10,19,11,10,19,18,24,1,3,1,2,1,3,0,2,2018,False
897621402,16,17,23,16,17,23,47,31,4,4,1,2,4,4,0,0,2017,False
111069682,12,17,19,12,17,19,8,29,1,2,1,1,1,2,2,2,2016,False
232783413,17,21,25,17,21,25,45,48,2,3,1,2,0,2,0,2,2020,False
215583659,9,17,24,9,17,24,23,36,2,3,1,1,1,4,1,2,2018,False
