StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,NumAbvYear9,NumAbvDiploma,NumProf,Year_02,At_Risk_Numeracy
463358048,9,12,21,25,28,30,34,34,1,3,1,1,1,2,2,2,4.756164384,1,1,0,0,0,0,0,2,2,116,116,2,2,2,2017,False
871034285,10,16,21,24,22,30,23,37,3,5,1,2,2,4,0,2,5.361643836,1,1,0,0,0,0,0,2,2,120,120,1,1,1,2018,False
414353727,6,15,16,18,24,24,10,14,0,2,1,1,0,1,0,2,5.123287671,0,1,0,0,0,0,0,4,4,98,98,1,0,0,2018,False
981278507,17,16,19,24,28,27,14,35,1,1,1,1,1,0,1,1,4.95890411,0,1,0,0,0,0,0,2,1,109,109,1,0,1,2018,True
379738362,14,15,19,19,21,29,7,34,2,2,1,1,1,1,0,0,4.863013699,0,1,0,0,0,0,0,2,2,90,90,0,0,0,2018,True
653714012,10,12,21,20,26,30,15,34,2,1,1,1,1,2,1,1,5.043835616,0,0,0,1,0,0,0,6,6,91,91,2,0,0,2020,False
767025160,0,6,11,13,15,23,5,1,0,1,0,1,0,2,0,2,5.243835616,0,0,1,0,0,0,0,6,5,89,89,1,0,0,2018,True
624969441,9,12,16,16,20,25,11,39,1,2,1,3,1,3,2,2,4.978082192,1,0,1,0,0,0,0,3,2,102,102,2,1,1,2020,False
810761451,14,16,17,20,22,26,30,26,2,3,1,1,2,2,2,2,5.454794521,0,1,0,0,0,0,0,3,1,92,92,2,0,2,2018,True
754847017,9,14,21,23,26,29,14,15,0,3,1,2,1,2,0,2,5.312328767,1,0,1,0,0,0,1,2,2,108,108,2,0,1,2020,True
987195458,6,11,18,20,18,21,5,20,0,0,1,1,1,1,0,1,4.835616438,0,0,1,0,0,0,0,4,2,95,95,1,0,0,2018,True
545134578,10,8,19,23,22,24,7,24,2,4,1,2,2,2,0,2,5.802739726,1,0,0,0,0,1,0,1,1,97,97,0,0,0,2017,False
636897735,14,21,26,28,32,30,28,35,2,4,1,2,2,2,0,3,4.846575342,0,1,0,0,0,0,0,3,2,101,101,2,1,2,2016,False
511181209,5,17,24,28,28,29,44,43,2,2,1,2,1,2,1,2,5.493150685,1,0,1,0,0,0,0,3,2,117,108,2,2,1,2021,False
523965010,3,12,14,13,14,21,10,29,1,1,1,1,0,2,0,2,5.443835616,1,1,0,0,0,0,0,2,1,97,97,0,0,0,2017,True
586512441,8,14,18,21,30,31,23,29,1,1,0,1,1,1,0,1,5.389041096,0,0,1,0,0,0,1,2,1,99,103,2,1,0,2016,True
206759260,11,15,23,27,30,29,25,30,0,3,1,2,1,3,1,2,5.435616438,0,1,0,0,0,0,0,2,2,116,116,2,0,0,2018,False
751916195,7,12,19,20,22,25,2,21,1,2,1,1,2,2,2,2,5.501369863,0,1,0,0,0,0,0,6,3,94,94,0,0,0,2017,True
113954834,2,10,16,9,13,20,6,13,0,3,0,2,1,3,0,2,5.290410959,1,0,1,0,0,0,1,2,1,99,99,2,0,0,2020,False
481733363,7,12,19,23,20,27,19,32,0,4,1,2,1,3,0,2,5.624657534,1,1,0,0,0,0,0,3,3,95,95,1,0,1,2017,False
319711718,7,9,25,28,31,29,19,37,2,5,2,2,4,3,2,2,5.695890411,1,1,0,0,0,0,0,1,1,95,95,1,0,0,2020,False
172639103,19,18,23,27,27,30,27,34,2,3,1,2,2,2,2,2,5.419178082,0,1,0,0,0,0,0,1,1,96,95,1,0,0,2021,False
297094412,8,17,21,21,22,26,26,29,1,2,1,1,1,2,2,2,5.071232877,0,1,0,0,0,0,0,3,1,100,100,2,2,1,2017,False
241417732,9,15,18,14,19,22,26,21,3,2,1,1,2,1,1,2,5.361643836,1,1,0,0,0,0,0,2,1,94,94,2,1,0,2017,True
400286703,28,27,30,31,31,32,58,54,5,5,2,4,4,4,2,3,6.071232877,1,1,0,0,0,0,0,3,1,113,113,2,1,1,2020,False
188326340,27,28,33,30,31,30,57,39,3,3,2,2,2,2,2,2,5.843835616,0,1,0,0,0,0,0,2,2,101,101,2,2,2,2017,False
745274731,11,11,16,18,21,25,22,36,1,3,1,2,2,2,0,2,5.284931507,0,1,0,0,0,0,0,1,1,100,100,0,0,0,2018,False
296016883,21,22,29,30,31,29,30,53,1,4,1,2,0,2,1,2,5.646575342,1,1,0,0,0,0,0,1,1,109,109,2,1,0,2020,False
310996362,10,13,22,19,24,25,9,29,2,4,1,2,2,5,2,2,5.216438356,1,1,0,0,0,0,0,3,3,99,94,2,0,0,2021,False
794341692,10,18,22,23,25,30,39,39,2,2,1,2,3,2,2,1,5.109589041,0,1,0,0,0,0,0,1,1,117,108,2,2,2,2021,False
216186247,9,15,19,24,26,28,39,39,2,2,2,2,2,2,1,2,5.893150685,1,1,0,0,0,0,0,2,1,120,120,2,2,2,2018,False
730353107,1,4,14,13,13,15,11,21,1,1,0,1,1,1,0,1,5.134246575,1,1,0,0,0,0,0,1,1,97,97,0,0,0,2016,True
387682724,17,19,24,22,26,29,33,30,3,4,2,2,2,4,2,2,4.904109589,1,1,0,0,0,0,0,2,1,113,113,2,2,2,2017,False
347823978,13,14,21,23,23,30,26,38,3,3,1,2,1,2,1,1,4.912328767,0,1,0,0,0,0,0,3,2,101,101,2,2,0,2020,False
305469583,3,13,22,19,25,27,3,0,1,3,1,2,0,2,0,2,4.75890411,1,1,0,0,0,0,0,2,1,95,95,2,2,0,2018,True
922103248,21,32,29,36,30,29,80,50,2,3,1,2,1,2,1,2,4.81369863,0,1,0,0,0,0,0,3,1,113,113,2,0,0,2020,False
983209738,18,20,24,19,21,26,37,26,2,2,1,2,1,2,1,2,5.397260274,1,0,1,0,0,0,1,1,1,95,95,0,0,0,2018,True
588877220,10,15,19,21,24,26,16,32,4,4,3,3,2,2,2,2,5.531506849,1,0,1,0,0,0,0,2,2,99,99,2,1,2,2017,False
845810364,15,21,24,27,29,29,41,54,4,4,2,3,2,4,2,2,5.123287671,1,0,1,0,0,0,0,2,1,117,108,1,1,2,2021,False
975980223,13,18,23,25,27,31,25,42,2,3,1,1,2,2,1,2,5.342465753,1,0,1,0,0,0,1,2,1,114,114,2,2,2,2020,True
557220837,16,20,24,26,23,30,37,36,3,3,1,2,1,2,1,2,5.843835616,1,1,0,0,0,0,0,2,1,109,109,2,0,1,2020,False
207631062,12,13,22,19,22,30,19,39,2,2,1,2,1,4,0,2,4.679452055,1,1,0,0,0,0,0,2,2,103,103,2,2,2,2020,False
262159897,3,9,22,22,25,30,7,29,1,2,1,2,1,2,1,2,5.419178082,0,1,0,0,0,0,0,3,3,95,95,0,0,0,2020,True
348103590,13,13,19,14,20,31,43,38,2,4,1,1,2,3,2,2,5.197260274,0,1,0,0,0,0,0,2,1,97,97,2,2,2,2017,False
822164884,10,18,27,26,24,28,18,36,1,3,1,2,2,2,0,1,4.95890411,1,1,0,0,0,0,0,1,1,120,120,2,1,1,2017,False
224234970,1,17,17,18,17,20,24,10,1,2,1,1,2,1,2,1,5.4,0,0,1,0,0,0,0,3,3,95,95,2,1,0,2018,False
743427649,4,9,16,14,18,23,7,18,1,2,0,1,1,3,0,2,5.389041096,1,1,0,0,0,0,0,2,2,96,96,0,0,0,2017,True
272747057,5,14,22,19,24,24,25,27,1,3,0,1,1,1,0,2,5.75890411,1,1,0,0,0,0,0,3,2,95,95,2,2,1,2018,False
521348728,1,19,18,20,24,28,10,21,1,2,1,1,1,2,1,2,5.380821918,1,1,0,0,0,0,0,3,2,90,90,2,1,2,2017,True
807668599,12,15,24,22,23,26,13,20,1,1,0,1,1,1,0,2,5.632876712,1,1,0,0,0,0,0,4,3,89,89,1,1,0,2018,True
990255653,9,13,22,23,25,28,25,37,3,4,1,2,1,4,1,3,5.44109589,0,1,0,0,0,0,0,2,1,95,95,2,0,2,2020,False
722093877,15,15,18,18,25,31,24,36,4,4,2,2,1,2,2,2,5.980821918,1,0,0,1,0,0,0,3,3,117,108,2,1,2,2021,False
272470697,1,10,13,13,17,24,4,4,1,2,0,1,0,1,1,2,5.178082192,0,0,0,0,0,1,0,3,3,96,95,2,2,1,2021,True
266001472,16,17,26,30,29,31,21,38,2,2,1,2,2,3,0,2,5.156164384,0,1,0,0,0,0,0,2,1,114,114,2,0,1,2016,False
449604000,11,16,20,28,31,28,19,43,2,3,1,2,0,3,0,2,4.690410959,0,1,0,0,0,0,0,2,1,104,104,2,2,1,2020,False
303537600,11,9,20,22,27,30,20,22,0,2,1,2,0,2,1,1,5.465753425,1,0,1,0,0,0,0,2,1,116,116,0,0,0,2018,False
310125242,20,23,30,31,30,30,52,48,5,5,2,2,4,5,2,4,5.635616438,1,1,0,0,0,0,0,2,1,114,114,2,1,2,2020,False
860303089,15,16,21,22,26,27,32,30,3,3,1,2,2,2,0,2,5.202739726,0,1,0,0,0,0,0,1,1,95,95,2,2,2,2018,True
486061792,13,19,26,28,31,30,23,39,1,2,1,2,1,2,0,2,5.671232877,0,1,0,0,0,0,0,1,1,114,114,2,0,0,2020,False
262746516,12,13,23,19,21,26,21,32,2,4,1,2,1,3,2,2,5.117808219,0,1,0,0,0,0,0,3,3,92,92,2,2,2,2020,False
936014187,6,15,18,19,20,23,19,26,1,3,1,1,1,1,2,1,4.876712329,0,1,0,0,0,0,0,3,1,95,95,2,2,1,2017,False
917736278,13,15,21,25,27,31,22,22,0,3,1,1,0,4,1,3,4.915068493,0,1,0,0,0,0,0,2,1,112,112,2,2,2,2018,False
796102107,5,9,17,16,18,25,23,28,0,2,1,2,1,4,2,2,5.183561644,0,1,0,0,0,0,0,2,2,103,103,2,0,0,2017,False
575854513,12,14,24,24,25,26,20,32,2,4,1,2,1,4,1,2,5.347945205,1,1,0,0,0,0,0,2,2,108,108,2,1,0,2020,False
913551015,15,17,21,22,22,28,22,25,1,2,1,2,1,1,1,0,5.334246575,0,1,0,0,0,0,0,2,2,103,103,2,2,1,2017,True
642755242,12,16,26,23,31,32,21,37,1,3,1,1,2,2,2,2,5.742465753,1,1,0,0,0,0,0,2,1,109,109,2,1,1,2020,False
234329008,11,17,24,24,29,31,19,38,2,3,1,2,1,2,1,2,4.961643836,0,1,0,0,0,0,0,3,3,95,95,2,1,2,2018,False
339293139,14,18,22,24,27,29,49,34,2,4,1,2,2,3,2,1,5.62739726,0,1,0,0,0,0,0,3,3,102,102,2,2,2,2018,False
521298518,4,16,21,21,20,26,13,25,2,3,1,2,1,0,0,1,5.432876712,1,0,1,0,0,0,1,3,1,95,95,2,1,1,2017,True
463972013,14,12,15,16,18,27,10,19,1,2,1,2,1,1,0,2,4.953424658,1,1,0,0,0,0,0,2,1,95,95,2,0,0,2017,False
642499299,13,12,14,12,13,18,7,14,2,2,1,1,1,1,1,1,4.926027397,0,0,1,0,0,0,0,1,1,109,109,2,1,1,2020,False
122166236,3,7,16,16,19,27,15,39,1,2,2,2,4,3,2,2,5.002739726,0,1,0,0,0,0,0,3,3,94,94,2,1,1,2020,False
184964543,10,13,19,15,23,27,10,35,2,2,1,2,2,2,0,1,5.010958904,1,0,1,0,0,0,0,1,1,110,110,1,0,0,2018,False
821343411,14,16,24,24,30,28,26,18,2,1,2,2,1,0,2,2,5.504109589,0,1,0,0,0,0,0,2,1,101,101,2,0,1,2016,False
866120249,21,21,24,28,29,31,34,50,2,5,1,2,3,4,2,2,5.769863014,1,0,0,1,0,0,0,2,1,105,105,2,1,0,2020,False
267784026,11,20,25,26,27,30,39,37,2,4,1,3,2,4,2,4,4.978082192,0,1,0,0,0,0,0,3,3,94,94,2,2,1,2020,False
512783009,20,23,26,30,29,32,18,49,1,4,1,2,3,3,0,2,5.306849315,1,1,0,0,0,0,0,1,1,95,93,0,0,0,2021,True
789050314,7,9,22,21,23,31,13,11,3,4,2,3,3,4,4,2,5.309589041,1,1,0,0,0,0,0,3,3,114,114,2,0,0,2016,False
982513234,0,5,11,10,13,15,10,13,0,2,0,1,1,1,1,2,5.693150685,0,1,0,0,0,0,0,1,1,105,105,0,0,0,2018,False
847896572,17,16,26,28,29,31,20,25,1,4,0,2,1,1,0,2,5.673972603,1,0,1,0,0,0,0,1,1,91,89,0,0,0,2021,True
470139577,9,13,20,20,23,27,22,14,2,2,1,2,1,2,1,1,4.895890411,0,0,1,0,0,0,1,1,1,99,99,1,0,1,2020,False
247967502,15,19,21,23,29,26,64,33,3,4,1,2,3,2,1,2,5.526027397,0,1,0,0,0,0,0,2,2,120,120,0,0,0,2016,False
836499340,12,15,20,23,27,25,17,48,4,5,2,2,4,4,2,2,5.449315068,1,0,0,0,0,1,0,2,2,117,108,2,2,1,2021,False
599040371,11,12,25,19,25,29,36,24,2,3,1,1,1,2,1,2,5.652054795,0,1,0,0,0,0,0,2,2,114,114,2,0,1,2016,True
977964450,5,16,20,22,26,28,5,18,3,2,1,2,1,4,1,2,5.054794521,1,1,0,0,0,0,0,2,2,94,94,2,2,0,2020,False
438186282,3,6,13,14,16,15,18,26,2,1,1,1,1,1,0,0,5.435616438,0,1,0,0,0,0,0,2,2,101,101,1,0,0,2016,False
348604029,9,15,18,19,24,25,17,18,2,4,1,2,1,5,2,2,4.983561644,0,1,0,0,0,0,0,1,1,107,107,2,2,1,2020,False
689409650,26,29,28,31,30,30,28,45,2,4,1,2,2,2,1,2,5.660273973,0,1,0,0,0,0,0,3,3,109,109,2,1,2,2020,False
349925591,2,11,16,13,14,24,11,19,2,2,1,1,1,0,1,1,4.854794521,1,0,0,0,1,0,1,3,1,103,103,2,1,2,2018,True
420619753,31,30,31,31,33,31,67,45,4,5,2,2,2,4,1,2,5.010958904,0,1,0,0,0,0,0,3,2,114,114,2,2,2,2020,False
276371305,14,14,26,20,23,25,28,28,2,2,1,2,2,2,2,2,5.101369863,0,1,0,0,0,0,0,4,2,104,98,2,2,2,2021,False
634714075,6,14,21,24,24,26,23,34,3,3,1,2,1,2,2,2,5.287671233,1,1,0,0,0,0,0,3,2,109,109,2,0,2,2020,False
255720236,11,18,24,24,24,29,32,30,1,5,1,3,2,2,1,2,5.715068493,1,1,0,0,0,0,0,2,2,102,102,2,1,1,2016,False
782608796,2,8,20,19,24,26,12,19,1,2,1,2,0,2,0,2,4.797260274,0,0,1,0,0,0,1,3,2,110,110,2,2,1,2018,True
655255805,4,13,16,14,15,20,13,19,2,3,1,2,1,2,1,1,5.153424658,0,0,1,0,0,0,0,2,1,93,93,2,0,0,2018,True
754825431,14,18,23,24,27,28,37,39,1,2,1,2,1,1,2,0,5.410958904,0,1,0,0,0,0,0,2,2,98,98,2,1,1,2017,False
252546202,12,13,20,19,24,28,18,28,2,4,2,2,2,4,2,2,5.402739726,1,0,1,0,0,0,0,2,2,115,115,2,1,1,2018,False
484858792,7,11,16,17,20,29,26,25,1,3,1,3,3,2,0,2,5.197260274,1,1,0,0,0,0,0,1,1,94,94,2,0,1,2020,False
232379317,6,8,17,17,20,23,13,31,2,2,0,1,1,2,0,2,5.060273973,0,1,0,0,0,0,0,3,1,103,103,2,2,2,2016,True
379669995,29,30,29,31,32,29,20,51,4,5,2,3,2,5,2,4,5.252054795,1,1,0,0,0,0,0,1,1,105,105,2,2,2,2020,False
187730675,9,11,23,19,19,28,17,14,0,2,1,1,0,1,1,2,4.967123288,1,1,0,0,0,0,0,2,1,95,95,2,1,2,2018,False
106160242,7,19,23,27,27,32,4,29,1,1,1,1,0,3,2,2,5.463013699,1,1,0,0,0,0,0,4,2,94,94,2,2,1,2018,True
983218632,9,15,18,18,23,25,18,34,1,2,1,1,1,1,1,2,5.24109589,0,1,0,0,0,0,0,4,1,95,95,2,1,1,2017,False
121313830,19,20,24,25,24,28,30,37,1,2,1,2,3,2,2,2,5.501369863,0,1,0,0,0,0,0,1,1,97,97,2,2,2,2016,False
167290911,24,26,30,31,29,30,22,35,5,5,1,4,3,5,2,4,5.739726027,1,1,0,0,0,0,0,2,2,114,114,0,0,0,2018,False
189292683,10,13,19,22,26,31,20,29,2,3,1,2,1,1,1,2,4.706849315,0,1,0,0,0,0,0,3,3,99,99,3,0,1,2017,False
149715920,15,13,20,19,23,23,22,35,1,3,1,1,1,1,0,1,5.580821918,1,0,1,0,0,0,0,2,2,78,78,2,2,1,2021,True
483189506,11,17,23,26,24,29,18,44,2,2,1,1,1,1,2,1,5.35890411,0,1,0,0,0,0,0,2,1,104,104,2,2,1,2020,False
403686995,12,18,23,25,28,29,28,37,3,5,1,4,4,4,0,2,5.931506849,1,1,0,0,0,0,0,3,1,104,104,2,2,0,2016,False
846580078,16,18,26,24,29,29,44,40,3,4,2,2,2,2,2,2,4.791780822,0,1,0,0,0,0,0,2,2,95,95,2,2,2,2018,False
985015976,7,18,24,20,24,28,27,38,2,4,1,2,2,2,2,2,4.904109589,1,1,0,0,0,0,0,2,2,113,102,2,1,1,2021,False
313421945,22,28,29,32,28,31,67,37,2,4,1,1,2,3,2,2,5.654794521,0,1,0,0,0,0,0,4,4,101,101,2,0,0,2016,False
884875752,18,23,27,30,29,30,31,34,2,4,2,3,1,2,1,2,5.430136986,1,1,0,0,0,0,0,2,1,101,101,2,1,1,2017,False
417862459,15,10,18,24,24,25,11,40,0,3,1,2,1,1,1,0,5.405479452,0,1,0,0,0,0,0,2,2,116,104,2,0,1,2021,False
233602931,15,21,29,28,26,30,29,37,2,4,1,2,2,2,2,2,5.495890411,0,1,0,0,0,0,0,2,2,95,95,2,2,2,2017,True
466737101,8,10,15,17,21,25,10,23,1,2,1,1,0,2,0,1,5.926027397,0,0,0,1,0,0,0,1,1,97,97,2,1,0,2018,False
567248058,11,12,21,23,25,29,30,38,2,3,1,1,2,2,2,2,4.893150685,1,0,1,0,0,0,1,3,1,110,110,2,2,1,2020,False
145678355,8,17,22,25,23,5,13,34,0,2,1,1,0,0,0,0,4.873972603,0,1,0,0,0,0,0,1,1,101,101,0,0,0,2016,False
470597494,2,14,24,21,24,27,12,22,2,3,1,2,1,2,0,2,5.257534247,1,0,1,0,0,0,0,3,3,99,99,2,1,0,2017,False
350369171,13,14,24,22,23,26,37,34,0,2,1,2,1,2,2,2,5.205479452,1,1,0,0,0,0,0,5,5,100,100,2,0,0,2017,False
444735358,6,14,20,14,21,26,8,31,2,2,1,1,2,1,1,2,5.17260274,0,1,0,0,0,0,0,3,2,99,99,2,1,0,2020,False
959865963,12,14,22,22,25,29,28,40,1,4,1,2,2,4,2,2,5.273972603,1,1,0,0,0,0,0,1,1,115,115,2,2,1,2020,False
305393524,16,16,19,24,22,27,56,37,2,4,2,0,2,1,2,2,5.350684932,1,1,0,0,0,0,0,2,1,120,120,0,0,0,2017,False
514176843,16,20,25,26,30,31,24,26,2,2,1,2,2,2,1,2,5.090410959,0,1,0,0,0,0,0,3,3,109,109,2,0,0,2020,True
814700810,9,12,17,18,22,26,23,21,2,2,1,1,2,2,2,2,4.978082192,1,1,0,0,0,0,0,3,3,97,97,2,2,1,2018,False
912031414,10,13,22,28,25,31,31,33,1,2,1,2,1,2,1,2,5.432876712,0,1,0,0,0,0,0,1,1,103,103,0,0,0,2017,False
774898276,25,25,31,30,31,29,50,33,4,5,2,2,5,5,2,4,5.424657534,1,1,0,0,0,0,0,2,1,95,95,2,1,2,2018,False
924635552,9,10,16,20,18,24,16,29,2,3,1,1,2,1,0,1,5.046575342,1,1,0,0,0,0,0,2,2,101,101,1,1,0,2016,False
365002501,1,10,14,16,16,31,6,10,0,3,1,2,1,4,0,2,5.832876712,1,0,1,0,0,0,0,1,1,116,116,0,0,0,2017,False
605757201,11,13,19,27,26,30,13,28,1,2,0,1,0,2,0,2,4.75890411,0,0,1,0,0,0,1,2,2,114,114,0,0,0,2020,False
604182127,8,11,20,22,25,27,30,30,1,4,1,1,1,4,1,2,5.02739726,0,1,0,0,0,0,0,2,1,120,120,2,2,2,2018,False
280654120,4,16,21,24,24,25,21,38,2,3,1,1,2,2,2,1,5.561643836,0,1,0,0,0,0,0,3,3,114,102,2,0,0,2021,False
515766446,8,11,17,17,19,24,13,26,2,4,1,1,1,1,2,1,5.479452055,0,1,0,0,0,0,0,3,3,97,97,1,0,0,2017,False
950798519,18,17,22,17,23,25,21,40,1,2,1,2,1,2,1,2,5.397260274,1,0,1,0,0,0,0,2,1,104,104,2,2,2,2020,True
748452182,6,9,17,17,23,27,12,23,2,3,1,2,0,2,0,2,5.019178082,0,1,0,0,0,0,0,2,1,97,97,0,0,0,2017,True
367570497,13,21,25,26,26,29,11,42,2,2,0,1,1,2,1,1,5.257534247,1,1,0,0,0,0,0,1,1,105,105,0,0,0,2020,False
118140299,15,19,21,23,24,32,32,35,2,4,0,2,2,4,1,2,4.936986301,0,1,0,0,0,0,0,2,1,103,103,2,2,2,2018,False
646528390,16,21,21,20,20,25,19,33,1,3,1,2,0,2,1,1,4.947945205,0,1,0,0,0,0,0,1,1,95,95,2,2,2,2018,False
118734362,10,16,23,31,29,30,26,32,2,2,1,2,2,2,0,2,4.824657534,0,0,1,0,0,0,0,1,1,114,102,1,1,1,2021,False
659757719,10,16,29,23,22,25,14,41,2,2,1,1,1,1,0,0,5.150684932,0,1,0,0,0,0,0,2,1,94,94,0,2,0,2020,False
874842319,21,22,25,29,29,30,27,40,2,2,1,1,1,2,0,1,4.923287671,0,1,0,0,0,0,0,3,3,109,109,0,2,1,2020,False
869836073,7,10,16,19,20,29,25,28,2,4,1,2,2,0,2,2,4.920547945,0,0,0,0,0,1,0,2,2,120,116,1,1,1,2017,False
739339239,16,15,21,23,30,32,16,43,1,3,1,2,1,3,0,1,5.353424658,1,1,0,0,0,0,0,2,2,95,95,2,2,1,2020,False
184262286,0,9,17,15,17,18,22,38,2,2,1,1,2,3,2,2,5.41369863,0,0,1,0,0,0,0,3,2,104,98,2,2,0,2021,False
698534195,7,13,20,22,28,30,13,24,2,3,1,2,2,2,1,2,5.246575342,0,1,0,0,0,0,0,4,3,95,95,2,1,1,2018,False
328901414,13,14,20,23,26,28,8,46,2,2,1,2,2,2,1,2,5.468493151,1,0,1,0,0,0,0,2,2,112,112,2,1,1,2020,True
868337185,4,11,23,27,26,28,23,36,2,2,1,2,1,4,1,2,5.326027397,1,1,0,0,0,0,0,2,2,94,94,2,2,1,2020,False
313227773,1,7,10,9,19,19,0,11,0,3,0,1,0,2,0,2,5.383561644,0,0,1,0,0,0,0,3,1,101,101,1,1,0,2018,False
869239182,13,15,25,25,29,31,21,32,2,4,1,2,0,1,0,2,5.704109589,1,1,0,0,0,0,0,2,2,114,114,2,2,2,2016,False
427725684,10,13,17,20,23,26,20,29,1,2,1,2,0,1,0,2,5.15890411,1,0,1,0,0,0,0,3,3,114,102,2,2,2,2021,True
948484674,27,29,30,27,30,30,28,43,3,5,2,2,4,5,2,3,5.005479452,0,1,0,0,0,0,0,1,1,94,91,2,2,2,2021,False
132490859,10,17,20,22,21,30,26,26,1,2,1,1,1,1,2,2,4.917808219,1,0,1,0,0,0,1,2,2,109,109,2,1,0,2018,False
584966624,15,13,26,31,31,30,39,36,4,4,2,2,1,5,0,3,5.608219178,1,1,0,0,0,0,0,2,1,101,101,2,2,1,2016,False
308674608,5,11,17,21,22,24,13,35,4,4,1,1,2,3,2,2,5.402739726,1,0,1,0,0,0,0,2,1,97,97,2,0,0,2020,False
168095826,16,15,21,24,20,25,26,41,2,2,1,1,1,1,0,2,5.180821918,0,1,0,0,0,0,0,3,3,110,110,2,2,2,2020,False
687827199,6,5,21,19,27,26,11,35,2,2,1,1,1,2,0,2,5.356164384,1,1,0,0,0,0,0,3,2,120,109,2,1,0,2021,True
264256753,6,13,18,21,21,20,7,15,1,2,1,1,1,2,1,1,5.276712329,1,1,0,0,0,0,0,3,1,96,95,2,2,2,2021,True
544479093,7,11,17,22,25,24,7,14,1,3,0,2,1,2,0,2,4.945205479,0,0,1,0,0,0,0,2,2,97,97,0,0,0,2016,True
467522892,3,11,20,19,21,27,15,29,2,3,0,2,2,3,2,2,5.649315068,0,0,1,0,0,0,0,2,2,115,115,1,0,0,2020,True
447212861,16,23,22,22,25,27,33,33,1,3,0,2,1,1,2,2,5.501369863,1,0,1,0,0,0,0,3,3,102,102,2,0,2,2018,False
672216639,14,24,30,24,31,30,39,42,1,2,1,2,2,2,1,2,4.638356164,1,1,0,0,0,0,0,2,2,109,109,2,2,2,2020,False
724160754,13,16,22,21,27,28,11,30,1,3,0,1,1,1,0,2,5.063013699,1,0,0,0,0,1,0,4,3,97,97,2,1,0,2020,True
727842708,6,5,16,18,23,25,10,18,3,4,1,2,2,5,2,2,5.410958904,1,1,0,0,0,0,0,1,1,94,94,1,0,0,2017,False
100739488,6,15,19,24,27,30,20,25,2,4,1,2,1,4,2,2,5.679452055,1,1,0,0,0,0,0,1,1,114,114,0,0,0,2016,False
930521573,15,20,24,28,27,27,16,26,2,2,1,1,2,2,1,1,5.238356164,1,0,1,0,0,0,1,2,1,109,109,2,2,2,2018,False
101992986,24,28,30,29,26,31,34,42,3,5,1,3,1,4,2,2,5.942465753,1,1,0,0,0,0,0,2,1,95,95,2,2,1,2020,False
462363607,14,19,21,22,23,28,19,42,2,2,1,1,1,2,1,2,5.668493151,0,0,1,0,0,0,0,2,1,117,108,2,2,2,2021,False
767337419,10,13,21,16,23,21,35,41,2,2,1,1,1,2,1,2,5.18630137,0,1,0,0,0,0,0,3,2,95,95,2,0,0,2017,True
